"0#0","Pos.","Player","Date of birth (age)","Caps","Goals","Club","player_url","name","club_name","club_name_detailed","club_url","country","wikidata_item"
16,"3MF","Gélson Fernandes","(1986-09-02)2 September 1986 (aged 29)",56,2,"Rennes","https://en.wikipedia.org/wiki/G%C3%A9lson_Fernandes","Gélson Fernandes","Rennes","Stade Rennais F.C.","https://en.wikipedia.org/wiki/Stade_Rennais_F.C.","Switzerland","https://www.wikidata.org/wiki/Q213095"
17,"4FW","Shani Tarashaj","(1995-02-07)7 February 1995 (aged 21)",4,0,"Grasshoppers","https://en.wikipedia.org/wiki/Shani_Tarashaj","Shani Tarashaj","Grasshoppers","Grasshopper Club Zürich","https://en.wikipedia.org/wiki/Grasshopper_Club_Z%C3%BCrich","Switzerland","https://www.wikidata.org/wiki/Q17712925"
18,"4FW","Admir Mehmedi","(1991-03-16)16 March 1991 (aged 25)",42,4,"Bayer Leverkusen","https://en.wikipedia.org/wiki/Admir_Mehmedi","Admir Mehmedi","Bayer Leverkusen","Bayer 04 Leverkusen","https://en.wikipedia.org/wiki/Bayer_04_Leverkusen","Switzerland","https://www.wikidata.org/wiki/Q358862"
19,"4FW","Eren Derdiyok","(1988-06-12)12 June 1988 (aged 27)",52,10,"Kasımpaşa","https://en.wikipedia.org/wiki/Eren_Derdiyok","Eren Derdiyok","Kasımpaşa","Kasımpaşa Spor Kulübü","https://en.wikipedia.org/wiki/Kas%C4%B1mpa%C5%9Fa_Spor_Kul%C3%BCb%C3%BC","Switzerland","https://www.wikidata.org/wiki/Q215577"
20,"2DF","Johan Djourou","(1987-01-18)18 January 1987 (aged 29)",60,2,"Hamburger SV","https://en.wikipedia.org/wiki/Johan_Djourou","Johan Djourou","Hamburger SV","Hamburger SV","https://en.wikipedia.org/wiki/Hamburger_SV","Switzerland","https://www.wikidata.org/wiki/Q215770"
21,"1GK","Roman Bürki","(1990-11-14)14 November 1990 (aged 25)",5,0,"Borussia Dortmund","https://en.wikipedia.org/wiki/Roman_B%C3%BCrki","Roman Bürki","Borussia Dortmund","Borussia Dortmund","https://en.wikipedia.org/wiki/Borussia_Dortmund","Switzerland","https://www.wikidata.org/wiki/Q524870"
22,"2DF","Fabian Schär","(1991-12-20)20 December 1991 (aged 24)",20,5,"1899 Hoffenheim","https://en.wikipedia.org/wiki/Fabian_Sch%C3%A4r","Fabian Schär","1899 Hoffenheim","TSG 1899 Hoffenheim","https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim","Switzerland","https://www.wikidata.org/wiki/Q673691"
23,"3MF","Xherdan Shaqiri","(1991-10-10)10 October 1991 (aged 24)",53,17,"Stoke City","https://en.wikipedia.org/wiki/Xherdan_Shaqiri","Xherdan Shaqiri","Stoke City","Stoke City F.C.","https://en.wikipedia.org/wiki/Stoke_City_F.C.","Switzerland","https://www.wikidata.org/wiki/Q252190"
1,"1GK","Joe Hart","(1987-04-19)19 April 1987 (aged 29)",59,0,"Manchester City","https://en.wikipedia.org/wiki/Joe_Hart","Joe Hart","Manchester City","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","England","https://www.wikidata.org/wiki/Q187184"
2,"2DF","Kyle Walker","(1990-05-28)28 May 1990 (aged 26)",16,0,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Kyle_Walker","Kyle Walker","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","England","https://www.wikidata.org/wiki/Q59108"
3,"2DF","Danny Rose","(1990-07-02)2 July 1990 (aged 25)",4,0,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Danny_Rose_(footballer,_born_1990)","Danny Rose (footballer, born 1990)","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","England","https://www.wikidata.org/wiki/Q83498"
4,"3MF","James Milner","(1986-01-04)4 January 1986 (aged 30)",60,1,"Liverpool","https://en.wikipedia.org/wiki/James_Milner","James Milner","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","England","https://www.wikidata.org/wiki/Q191136"
5,"2DF","Gary Cahill","(1985-12-19)19 December 1985 (aged 30)",43,3,"Chelsea","https://en.wikipedia.org/wiki/Gary_Cahill","Gary Cahill","Chelsea","Chelsea F.C.","https://en.wikipedia.org/wiki/Chelsea_F.C.","England","https://www.wikidata.org/wiki/Q223827"
6,"2DF","Chris Smalling","(1989-11-22)22 November 1989 (aged 26)",25,1,"Manchester United","https://en.wikipedia.org/wiki/Chris_Smalling","Chris Smalling","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","England","https://www.wikidata.org/wiki/Q29491"
7,"3MF","Raheem Sterling","(1994-12-08)8 December 1994 (aged 21)",23,2,"Manchester City","https://en.wikipedia.org/wiki/Raheem_Sterling","Raheem Sterling","Manchester City","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","England","https://www.wikidata.org/wiki/Q312157"
8,"3MF","Adam Lallana","(1988-05-10)10 May 1988 (aged 28)",23,0,"Liverpool","https://en.wikipedia.org/wiki/Adam_Lallana","Adam Lallana","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","England","https://www.wikidata.org/wiki/Q59719"
9,"4FW","Harry Kane","(1993-07-28)28 July 1993 (aged 22)",12,5,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Harry_Kane","Harry Kane","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","England","https://www.wikidata.org/wiki/Q969725"
10,"4FW","Wayne Rooney (captain)","(1985-10-24)24 October 1985 (aged 30)",111,52,"Manchester United","https://en.wikipedia.org/wiki/Wayne_Rooney","Wayne Rooney","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","England","https://www.wikidata.org/wiki/Q266613"
11,"4FW","Jamie Vardy","(1987-01-11)11 January 1987 (aged 29)",8,3,"Leicester City","https://en.wikipedia.org/wiki/Jamie_Vardy","Jamie Vardy","Leicester City","Leicester City F.C.","https://en.wikipedia.org/wiki/Leicester_City_F.C.","England","https://www.wikidata.org/wiki/Q6147586"
12,"2DF","Nathaniel Clyne","(1991-04-05)5 April 1991 (aged 25)",12,0,"Liverpool","https://en.wikipedia.org/wiki/Nathaniel_Clyne","Nathaniel Clyne","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","England","https://www.wikidata.org/wiki/Q714067"
13,"1GK","Fraser Forster","(1988-03-17)17 March 1988 (aged 28)",6,0,"Southampton","https://en.wikipedia.org/wiki/Fraser_Forster","Fraser Forster","Southampton","Southampton F.C.","https://en.wikipedia.org/wiki/Southampton_F.C.","England","https://www.wikidata.org/wiki/Q348813"
14,"3MF","Jordan Henderson","(1990-06-17)17 June 1990 (aged 25)",26,0,"Liverpool","https://en.wikipedia.org/wiki/Jordan_Henderson","Jordan Henderson","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","England","https://www.wikidata.org/wiki/Q273715"
15,"4FW","Daniel Sturridge","(1989-09-01)1 September 1989 (aged 26)",18,5,"Liverpool","https://en.wikipedia.org/wiki/Daniel_Sturridge","Daniel Sturridge","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","England","https://www.wikidata.org/wiki/Q222231"
16,"2DF","John Stones","(1994-05-28)28 May 1994 (aged 22)",10,0,"Everton","https://en.wikipedia.org/wiki/John_Stones","John Stones","Everton","Everton F.C.","https://en.wikipedia.org/wiki/Everton_F.C.","England","https://www.wikidata.org/wiki/Q2025900"
17,"3MF","Eric Dier","(1994-01-15)15 January 1994 (aged 22)",7,1,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Eric_Dier","Eric Dier","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","England","https://www.wikidata.org/wiki/Q1439915"
18,"3MF","Jack Wilshere","(1992-01-01)1 January 1992 (aged 24)",31,2,"Arsenal","https://en.wikipedia.org/wiki/Jack_Wilshere","Jack Wilshere","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","England","https://www.wikidata.org/wiki/Q15199"
19,"3MF","Ross Barkley","(1993-12-05)5 December 1993 (aged 22)",22,2,"Everton","https://en.wikipedia.org/wiki/Ross_Barkley","Ross Barkley","Everton","Everton F.C.","https://en.wikipedia.org/wiki/Everton_F.C.","England","https://www.wikidata.org/wiki/Q326240"
20,"3MF","Dele Alli","(1996-04-11)11 April 1996 (aged 20)",8,1,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Dele_Alli","Dele Alli","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","England","https://www.wikidata.org/wiki/Q10553748"
21,"2DF","Ryan Bertrand","(1989-08-05)5 August 1989 (aged 26)",8,0,"Southampton","https://en.wikipedia.org/wiki/Ryan_Bertrand","Ryan Bertrand","Southampton","Southampton F.C.","https://en.wikipedia.org/wiki/Southampton_F.C.","England","https://www.wikidata.org/wiki/Q296391"
22,"4FW","Marcus Rashford","(1997-10-31)31 October 1997 (aged 18)",1,1,"Manchester United","https://en.wikipedia.org/wiki/Marcus_Rashford","Marcus Rashford","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","England","https://www.wikidata.org/wiki/Q22951255"
23,"1GK","Tom Heaton","(1986-04-15)15 April 1986 (aged 30)",1,0,"Burnley","https://en.wikipedia.org/wiki/Tom_Heaton","Tom Heaton","Burnley","Burnley F.C.","https://en.wikipedia.org/wiki/Burnley_F.C.","England","https://www.wikidata.org/wiki/Q357912"
1,"1GK","Igor Akinfeev","(1986-04-08)8 April 1986 (aged 30)",86,0,"CSKA Moscow","https://en.wikipedia.org/wiki/Igor_Akinfeev","Igor Akinfeev","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q203002"
2,"2DF","Roman Shishkin","(1987-01-27)27 January 1987 (aged 29)",10,0,"Lokomotiv Moscow","https://en.wikipedia.org/wiki/Roman_Shishkin","Roman Shishkin","Lokomotiv Moscow","FC Lokomotiv Moscow","https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow","Russia","https://www.wikidata.org/wiki/Q645750"
3,"2DF","Igor Smolnikov","(1988-08-08)8 August 1988 (aged 27)",12,0,"Zenit Saint Petersburg","https://en.wikipedia.org/wiki/Igor_Smolnikov","Igor Smolnikov","Zenit Saint Petersburg","FC Zenit Saint Petersburg","https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg","Russia","https://www.wikidata.org/wiki/Q2894444"
4,"2DF","Sergei Ignashevich","(1979-07-14)14 July 1979 (aged 36)",115,8,"CSKA Moscow","https://en.wikipedia.org/wiki/Sergei_Ignashevich","Sergei Ignashevich","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q213980"
5,"2DF","Roman Neustädter","(1988-02-18)18 February 1988 (aged 28)",0,0,"Schalke 04","https://en.wikipedia.org/wiki/Roman_Neust%C3%A4dter","Roman Neustädter","Schalke 04","FC Schalke 04","https://en.wikipedia.org/wiki/FC_Schalke_04","Russia","https://www.wikidata.org/wiki/Q26233"
6,"2DF","Aleksei Berezutski","(1982-06-20)20 June 1982 (aged 33)",57,0,"CSKA Moscow","https://en.wikipedia.org/wiki/Aleksei_Berezutski","Aleksei Berezutski","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q213011"
7,"3MF","Artur Yusupov","(1989-09-01)1 September 1989 (aged 26)",2,0,"Zenit Saint Petersburg","https://en.wikipedia.org/wiki/Artur_Rimovich_Yusupov","Artur Rimovich Yusupov","Zenit Saint Petersburg","FC Zenit Saint Petersburg","https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg","Russia","https://www.wikidata.org/wiki/Q3624488"
8,"3MF","Denis Glushakov","(1987-01-27)27 January 1987 (aged 29)",42,4,"Spartak Moscow","https://en.wikipedia.org/wiki/Denis_Glushakov","Denis Glushakov","Spartak Moscow","FC Spartak Moscow","https://en.wikipedia.org/wiki/FC_Spartak_Moscow","Russia","https://www.wikidata.org/wiki/Q314386"
9,"4FW","Aleksandr Kokorin","(1991-03-19)19 March 1991 (aged 25)",37,11,"Zenit Saint Petersburg","https://en.wikipedia.org/wiki/Aleksandr_Kokorin","Aleksandr Kokorin","Zenit Saint Petersburg","FC Zenit Saint Petersburg","https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg","Russia","https://www.wikidata.org/wiki/Q39233"
10,"4FW","Fyodor Smolov","(1990-02-05)5 February 1990 (aged 26)",12,5,"Krasnodar","https://en.wikipedia.org/wiki/Fyodor_Smolov","Fyodor Smolov","Krasnodar","FC Krasnodar","https://en.wikipedia.org/wiki/FC_Krasnodar","Russia","https://www.wikidata.org/wiki/Q1883203"
11,"3MF","Pavel Mamayev","(1988-09-17)17 September 1988 (aged 27)",10,0,"Krasnodar","https://en.wikipedia.org/wiki/Pavel_Mamayev","Pavel Mamayev","Krasnodar","FC Krasnodar","https://en.wikipedia.org/wiki/FC_Krasnodar","Russia","https://www.wikidata.org/wiki/Q1332571"
12,"1GK","Yuri Lodygin","(1990-05-26)26 May 1990 (aged 26)",10,0,"Zenit Saint Petersburg","https://en.wikipedia.org/wiki/Yuri_Lodygin","Yuri Lodygin","Zenit Saint Petersburg","FC Zenit Saint Petersburg","https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg","Russia","https://www.wikidata.org/wiki/Q12875294"
13,"3MF","Aleksandr Golovin","(1996-05-30)30 May 1996 (aged 20)",3,2,"CSKA Moscow","https://en.wikipedia.org/wiki/Aleksandr_Golovin_(footballer)","Aleksandr Golovin (footballer)","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q15065431"
14,"2DF","Vasili Berezutski","(1982-06-20)20 June 1982 (aged 33)",93,4,"CSKA Moscow","https://en.wikipedia.org/wiki/Vasili_Berezutski","Vasili Berezutski","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q311349"
15,"3MF","Roman Shirokov (captain)","(1981-07-06)6 July 1981 (aged 34)",53,13,"CSKA Moscow","https://en.wikipedia.org/wiki/Roman_Shirokov","Roman Shirokov","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q206607"
16,"1GK","Guilherme Marinato","(1985-12-12)12 December 1985 (aged 30)",1,0,"Lokomotiv Moscow","https://en.wikipedia.org/wiki/Guilherme_Marinato","Guilherme Marinato","Lokomotiv Moscow","FC Lokomotiv Moscow","https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow","Russia","https://www.wikidata.org/wiki/Q969901"
17,"3MF","Oleg Shatov","(1990-06-29)29 June 1990 (aged 25)",21,2,"Zenit Saint Petersburg","https://en.wikipedia.org/wiki/Oleg_Shatov","Oleg Shatov","Zenit Saint Petersburg","FC Zenit Saint Petersburg","https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg","Russia","https://www.wikidata.org/wiki/Q2037238"
18,"3MF","Oleg Ivanov","(1986-08-04)4 August 1986 (aged 29)",3,0,"Terek Grozny","https://en.wikipedia.org/wiki/Oleg_Ivanov","Oleg Ivanov","Terek Grozny","FC Terek Grozny","https://en.wikipedia.org/wiki/FC_Terek_Grozny","Russia","https://www.wikidata.org/wiki/Q519006"
19,"3MF","Aleksandr Samedov","(1984-07-19)19 July 1984 (aged 31)",28,3,"Lokomotiv Moscow","https://en.wikipedia.org/wiki/Aleksandr_Samedov","Aleksandr Samedov","Lokomotiv Moscow","FC Lokomotiv Moscow","https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow","Russia","https://www.wikidata.org/wiki/Q2416149"
20,"3MF","Dmitri Torbinski","(1984-04-28)28 April 1984 (aged 32)",28,2,"Krasnodar","https://en.wikipedia.org/wiki/Dmitri_Torbinski","Dmitri Torbinski","Krasnodar","FC Krasnodar","https://en.wikipedia.org/wiki/FC_Krasnodar","Russia","https://www.wikidata.org/wiki/Q294877"
21,"2DF","Georgi Shchennikov","(1991-04-27)27 April 1991 (aged 25)",7,0,"CSKA Moscow","https://en.wikipedia.org/wiki/Georgi_Shchennikov","Georgi Shchennikov","CSKA Moscow","PFC CSKA Moscow","https://en.wikipedia.org/wiki/PFC_CSKA_Moscow","Russia","https://www.wikidata.org/wiki/Q246680"
22,"4FW","Artem Dzyuba","(1988-08-22)22 August 1988 (aged 27)",16,8,"Zenit Saint Petersburg","https://en.wikipedia.org/wiki/Artem_Dzyuba","Artem Dzyuba","Zenit Saint Petersburg","FC Zenit Saint Petersburg","https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg","Russia","https://www.wikidata.org/wiki/Q713439"
23,"2DF","Dmitri Kombarov","(1987-01-22)22 January 1987 (aged 29)",38,2,"Spartak Moscow","https://en.wikipedia.org/wiki/Dmitri_Kombarov","Dmitri Kombarov","Spartak Moscow","FC Spartak Moscow","https://en.wikipedia.org/wiki/FC_Spartak_Moscow","Russia","https://www.wikidata.org/wiki/Q275512"
1,"1GK","Wayne Hennessey","(1987-01-24)24 January 1987 (aged 29)",57,0,"Crystal Palace","https://en.wikipedia.org/wiki/Wayne_Hennessey","Wayne Hennessey","Crystal Palace","Crystal Palace F.C.","https://en.wikipedia.org/wiki/Crystal_Palace_F.C.","Wales","https://www.wikidata.org/wiki/Q138839"
2,"2DF","Chris Gunter","(1989-07-21)21 July 1989 (aged 26)",67,0,"Reading","https://en.wikipedia.org/wiki/Chris_Gunter","Chris Gunter","Reading","Reading F.C.","https://en.wikipedia.org/wiki/Reading_F.C.","Wales","https://www.wikidata.org/wiki/Q470751"
3,"2DF","Neil Taylor","(1989-02-07)7 February 1989 (aged 27)",28,0,"Swansea City","https://en.wikipedia.org/wiki/Neil_Taylor_(footballer)","Neil Taylor (footballer)","Swansea City","Swansea City A.F.C.","https://en.wikipedia.org/wiki/Swansea_City_A.F.C.","Wales","https://www.wikidata.org/wiki/Q1191188"
4,"2DF","Ben Davies","(1993-04-24)24 April 1993 (aged 23)",20,0,"Tottenham Hotspur","https://en.wikipedia.org/wiki/Ben_Davies_(footballer,_born_1993)","Ben Davies (footballer, born 1993)","Tottenham Hotspur","Tottenham Hotspur F.C.","https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.","Wales","https://www.wikidata.org/wiki/Q93555"
5,"2DF","James Chester","(1989-01-23)23 January 1989 (aged 27)",11,0,"West Bromwich Albion","https://en.wikipedia.org/wiki/James_Chester","James Chester","West Bromwich Albion","West Bromwich Albion F.C.","https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.","Wales","https://www.wikidata.org/wiki/Q546799"
6,"2DF","Ashley Williams (captain)","(1984-08-23)23 August 1984 (aged 31)",59,1,"Swansea City","https://en.wikipedia.org/wiki/Ashley_Williams_(footballer)","Ashley Williams (footballer)","Swansea City","Swansea City A.F.C.","https://en.wikipedia.org/wiki/Swansea_City_A.F.C.","Wales","https://www.wikidata.org/wiki/Q528983"
7,"3MF","Joe Allen","(1990-03-14)14 March 1990 (aged 26)",25,0,"Liverpool","https://en.wikipedia.org/wiki/Joe_Allen_(footballer,_born_1990)","Joe Allen (footballer, born 1990)","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","Wales","https://www.wikidata.org/wiki/Q313250"
8,"3MF","Andy King","(1988-10-29)29 October 1988 (aged 27)",33,2,"Leicester City","https://en.wikipedia.org/wiki/Andy_King_(footballer,_born_1988)","Andy King (footballer, born 1988)","Leicester City","Leicester City F.C.","https://en.wikipedia.org/wiki/Leicester_City_F.C.","Wales","https://www.wikidata.org/wiki/Q526445"
9,"4FW","Hal Robson-Kanu","(1989-05-21)21 May 1989 (aged 27)",30,2,"Reading","https://en.wikipedia.org/wiki/Hal_Robson-Kanu","Hal Robson-Kanu","Reading","Reading F.C.","https://en.wikipedia.org/wiki/Reading_F.C.","Wales","https://www.wikidata.org/wiki/Q2623887"
10,"3MF","Aaron Ramsey","(1990-12-26)26 December 1990 (aged 25)",39,10,"Arsenal","https://en.wikipedia.org/wiki/Aaron_Ramsey","Aaron Ramsey","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","Wales","https://www.wikidata.org/wiki/Q213427"
11,"4FW","Gareth Bale","(1989-07-16)16 July 1989 (aged 26)",55,19,"Real Madrid","https://en.wikipedia.org/wiki/Gareth_Bale","Gareth Bale","Real Madrid","Real Madrid C.F.","https://en.wikipedia.org/wiki/Real_Madrid_C.F.","Wales","https://www.wikidata.org/wiki/Q184586"
12,"1GK","Owain Fôn Williams","(1987-03-17)17 March 1987 (aged 29)",1,0,"Inverness Caledonian Thistle","https://en.wikipedia.org/wiki/Owain_F%C3%B4n_Williams","Owain Fôn Williams","Inverness Caledonian Thistle","Inverness Caledonian Thistle F.C.","https://en.wikipedia.org/wiki/Inverness_Caledonian_Thistle_F.C.","Wales","https://www.wikidata.org/wiki/Q7114242"
13,"4FW","George Williams","(1995-09-07)7 September 1995 (aged 20)",7,0,"Gillingham","https://en.wikipedia.org/wiki/George_Williams_(footballer,_born_1995)","George Williams (footballer, born 1995)","Gillingham","Gillingham F.C.","https://en.wikipedia.org/wiki/Gillingham_F.C.","Wales","https://www.wikidata.org/wiki/Q5546374"
14,"3MF","David Edwards","(1986-02-03)3 February 1986 (aged 30)",32,3,"Wolverhampton Wanderers","https://en.wikipedia.org/wiki/David_Edwards_(footballer)","David Edwards (footballer)","Wolverhampton Wanderers","Wolverhampton Wanderers F.C.","https://en.wikipedia.org/wiki/Wolverhampton_Wanderers_F.C.","Wales","https://www.wikidata.org/wiki/Q934766"
15,"2DF","Jazz Richards","(1991-04-12)12 April 1991 (aged 25)",9,0,"Fulham","https://en.wikipedia.org/wiki/Jazz_Richards","Jazz Richards","Fulham","Fulham F.C.","https://en.wikipedia.org/wiki/Fulham_F.C.","Wales","https://www.wikidata.org/wiki/Q2463858"
16,"3MF","Joe Ledley","(1987-01-23)23 January 1987 (aged 29)",61,4,"Crystal Palace","https://en.wikipedia.org/wiki/Joe_Ledley","Joe Ledley","Crystal Palace","Crystal Palace F.C.","https://en.wikipedia.org/wiki/Crystal_Palace_F.C.","Wales","https://www.wikidata.org/wiki/Q370527"
17,"4FW","David Cotterill","(1987-12-04)4 December 1987 (aged 28)",23,2,"Birmingham City","https://en.wikipedia.org/wiki/David_Cotterill","David Cotterill","Birmingham City","Birmingham City F.C.","https://en.wikipedia.org/wiki/Birmingham_City_F.C.","Wales","https://www.wikidata.org/wiki/Q971539"
18,"4FW","Sam Vokes","(1989-10-21)21 October 1989 (aged 26)",40,6,"Burnley","https://en.wikipedia.org/wiki/Sam_Vokes","Sam Vokes","Burnley","Burnley F.C.","https://en.wikipedia.org/wiki/Burnley_F.C.","Wales","https://www.wikidata.org/wiki/Q930371"
19,"2DF","James Collins","(1983-08-23)23 August 1983 (aged 32)",47,3,"West Ham United","https://en.wikipedia.org/wiki/James_Collins_(footballer_born_1983)","James Collins (footballer born 1983)","West Ham United","West Ham United F.C.","https://en.wikipedia.org/wiki/West_Ham_United_F.C.","Wales","https://www.wikidata.org/wiki/Q158980"
20,"3MF","Jonny Williams","(1993-10-09)9 October 1993 (aged 22)",12,0,"Milton Keynes Dons","https://en.wikipedia.org/wiki/Jonny_Williams","Jonny Williams","Milton Keynes Dons","Milton Keynes Dons","https://en.wikipedia.org/wiki/Milton_Keynes_Dons","Wales","https://www.wikidata.org/wiki/Q2066985"
21,"1GK","Danny Ward","(1993-06-22)22 June 1993 (aged 22)",2,0,"Liverpool","https://en.wikipedia.org/wiki/Danny_Ward_(footballer,_born_1993)","Danny Ward (footballer, born 1993)","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","Wales","https://www.wikidata.org/wiki/Q20128169"
22,"3MF","David Vaughan","(1983-02-18)18 February 1983 (aged 33)",42,1,"Nottingham Forest","https://en.wikipedia.org/wiki/David_Vaughan_(footballer)","David Vaughan (footballer)","Nottingham Forest","Nottingham Forest F.C.","https://en.wikipedia.org/wiki/Nottingham_Forest_F.C.","Wales","https://www.wikidata.org/wiki/Q126444"
23,"4FW","Simon Church","(1988-12-10)10 December 1988 (aged 27)",36,3,"Aberdeen","https://en.wikipedia.org/wiki/Simon_Church","Simon Church","Aberdeen","Aberdeen F.C.","https://en.wikipedia.org/wiki/Aberdeen_F.C.","Wales","https://www.wikidata.org/wiki/Q2635045"
1,"1GK","Ján Mucha","(1982-12-05)5 December 1982 (aged 33)",46,0,"Slovan Bratislava","https://en.wikipedia.org/wiki/J%C3%A1n_Mucha","Ján Mucha","Slovan Bratislava","ŠK Slovan Bratislava","https://en.wikipedia.org/wiki/%C5%A0K_Slovan_Bratislava","Slovakia","https://www.wikidata.org/wiki/Q201394"
2,"2DF","Peter Pekarík","(1986-10-30)30 October 1986 (aged 29)",67,2,"Hertha BSC","https://en.wikipedia.org/wiki/Peter_Pekar%C3%ADk","Peter Pekarík","Hertha BSC","Hertha BSC","https://en.wikipedia.org/wiki/Hertha_BSC","Slovakia","https://www.wikidata.org/wiki/Q161082"
3,"2DF","Martin Škrtel (captain)","(1984-12-15)15 December 1984 (aged 31)",81,5,"Liverpool","https://en.wikipedia.org/wiki/Martin_%C5%A0krtel","Martin Škrtel","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","Slovakia","https://www.wikidata.org/wiki/Q192913"
4,"2DF","Ján Ďurica","(1981-12-10)10 December 1981 (aged 34)",79,4,"Lokomotiv Moscow","https://en.wikipedia.org/wiki/J%C3%A1n_%C4%8Eurica","Ján Ďurica","Lokomotiv Moscow","FC Lokomotiv Moscow","https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow","Slovakia","https://www.wikidata.org/wiki/Q318524"
5,"2DF","Norbert Gyömbér","(1992-07-03)3 July 1992 (aged 23)",13,0,"Roma","https://en.wikipedia.org/wiki/Norbert_Gy%C3%B6mb%C3%A9r","Norbert Gyömbér","Roma","A.S. Roma","https://en.wikipedia.org/wiki/A.S._Roma","Slovakia","https://www.wikidata.org/wiki/Q3808761"
6,"3MF","Ján Greguš","(1991-01-29)29 January 1991 (aged 25)",7,0,"Baumit Jablonec","https://en.wikipedia.org/wiki/J%C3%A1n_Gregu%C5%A1","Ján Greguš","Baumit Jablonec","FK Baumit Jablonec","https://en.wikipedia.org/wiki/FK_Baumit_Jablonec","Slovakia","https://www.wikidata.org/wiki/Q1989551"
7,"3MF","Vladimír Weiss","(1989-11-30)30 November 1989 (aged 26)",52,4,"Al-Gharafa","https://en.wikipedia.org/wiki/Vladim%C3%ADr_Weiss_(footballer,_born_1989)","Vladimír Weiss (footballer, born 1989)","Al-Gharafa","Al-Gharafa Sports Club","https://en.wikipedia.org/wiki/Al-Gharafa_Sports_Club","Slovakia","https://www.wikidata.org/wiki/Q217507"
8,"3MF","Ondrej Duda","(1994-12-05)5 December 1994 (aged 21)",11,1,"Legia Warsaw","https://en.wikipedia.org/wiki/Ondrej_Duda","Ondrej Duda","Legia Warsaw","Legia Warsaw","https://en.wikipedia.org/wiki/Legia_Warsaw","Slovakia","https://www.wikidata.org/wiki/Q6643086"
